name n z mass
n1 1 0 939.5654204759348
h1 0 1 938.7830734813572
h2 1 1 1876.1239277295715
h3 2 1 2809.4321181490463
he3 1 2 2809.413526132233
li3 0 3 2823.1490382533207
h4 3 1 3750.597537894952
he4 2 2 3728.401325537765
li4 1 3 3751.2995994109774
h5 4 1 4690.362958631272
he5 3 2 4668.701745133244
li5 2 3 4669.149398843007
be5 1 4 4694.609181949093
h6 5 1 5630.840338939951
he6 4 2 5606.55670872527
li6 3 3 5603.051494946114
be6 2 4 5607.339648148235
b6 1 5 5636.284514905657
h7 6 1 6569.594099328412
he7 5 2 6546.53184418082
li7 4 3 6535.365821551621
be7 3 4 6536.227714172516
b7 2 5 6548.135269691028
he8 6 2 7483.56250162829
li8 5 3 7472.898623008667
be8 4 4 7456.894490562875
b8 3 5 7474.874388135976
c8 2 6 7487.017088162714
he9 7 2 8424.382747217682
li9 6 3 8408.401826673427
be9 5 4 8394.795372156681
b9 4 5 8395.863407459114
c9 3 6 8412.35789237283
he10 8 2 9364.1381702278
li10 7 3 9347.993651374338
be10 6 4 9327.548509947475
b10 5 5 9326.991634828228
c10 4 6 9330.639696413698
n10 3 7 9353.74105102624
li11 8 3 10287.163384426643
be11 7 4 10266.612294860572
b11 6 5 10255.1028338396
c11 5 6 10257.0845232694
n11 4 7 10270.800770201517
o11 3 8 10294.17403912048
li12 9 3 11226.93880568365
be12 8 4 11203.006989613525
b12 7 5 11191.29862665686
c12 6 6 11177.929229005733
n12 5 7 11195.26729640296
o12 4 8 11209.94256308822
li13 10 3 12166.404225703369
be13 9 4 12143.082410655632
b13 8 5 12125.985278865464
c13 7 6 12112.548340756666
n13 6 7 12114.768811862454
o13 5 8 12132.538762774291
f13 4 9 12151.45327681804
be14 10 4 13080.87193585547
b14 9 5 13064.581119332766
c14 8 6 13043.937327119653
n14 7 7 13043.7808506697
o14 6 8 13048.925214779234
f14 5 9 13072.881836537308
be15 11 4 14022.23735606669
b15 10 5 14001.36891484337
c15 9 6 13982.284680711176
n15 8 7 13972.512974353433
o15 7 8 13975.267158111325
f15 6 9 13988.978288346334
ne15 5 10 14012.626909716457
be16 12 4 14961.352776492367
b16 11 5 14941.017337125944
c16 10 6 14917.599771004938
n16 9 7 14909.5895458252
o16 8 8 15830.662738923598
f16 7 9 14914.580820043371
ne16 6 10 14927.892412896475
b17 12 5 15879.11606247814
c17 11 6 15856.431620406993
n17 10 7 15843.269819257506
o17 9 8 16766.085079296565
f17 8 9 15837.351442000116
ne17 7 10 15851.900192224894
na17 6 11 15870.119320770846
b18 13 5 16818.686483307563
c18 12 6 16791.813108531875
n18 11 7 16780.007010419504
o18 10 8 17697.60512959041
f18 9 9 16767.76695528665
ne18 8 10 16772.21146016509
na18 7 11 16791.93183490718
b19 14 5 17758.15819650144
c19 13 6 17730.801699515046
n19 12 7 17714.244200888294
o19 11 8 17701.72080294787
f19 10 9 18628.39460322857
ne19 9 10 17700.13999877194
na19 8 11 17711.317329981735
mg19 7 12 17730.22633982683
b20 15 5 18699.28361632568
c20 14 6 18667.385614253988
n20 13 7 18651.648545824828
o20 12 8 18633.67821935363
f20 11 9 19561.3586871086
ne20 10 10 19554.3342185901
na20 9 11 18636.732536351785
mg20 8 12 18647.3597420486
b21 16 5 19639.759036770763
c21 15 6 19607.019361778468
n21 14 7 19586.60806525832
o21 13 8 19569.43818377876
f21 12 9 20492.822647308083
ne21 11 10 20487.13847654436
na21 10 11 20490.685395568697
mg21 9 12 19572.280000890318
al21 8 13 19588.465862246525
c22 16 6 20546.48145543275
n22 15 7 20524.635057181185
o22 14 8 20502.153284939373
f22 13 9 20495.66362886943
ne22 12 10 21416.33963916083
na22 11 11 21419.18296342985
mg22 10 12 21423.96436923226
al22 9 13 20511.071647938406
si22 8 14 20526.510231191867
c23 17 6 21488.534984309837
n23 16 7 21461.084784605704
o23 15 8 21438.985726030813
f23 14 9 21427.64961885678
ne23 13 10 22350.704412650848
na23 12 11 22346.328604484395
mg23 11 12 22350.38478255903
al23 10 13 21431.112425826657
si23 9 14 21448.314000461567
n24 17 7 22402.796445832264
o24 16 8 22374.35886237957
f24 15 9 22363.40297339976
ne24 14 10 23281.400917653835
na24 13 11 23278.934659403
mg24 12 12 23273.418981949984
al24 11 13 23287.30374827465
si24 10 14 22366.603643025308
p24 9 15 22389.87848561994
n25 18 7 23343.33535598388
o25 17 8 23314.681590448403
f25 16 9 23298.68672636893
ne25 15 10 24216.811159138662
na25 14 11 24209.48884887402
mg25 13 12 24205.65388020242
al25 12 13 24209.9306881976
si25 11 14 23291.17988153363
p25 10 15 23307.5426950985
o26 18 8 24253.50770277828
f26 17 9 24237.521317158127
ne26 16 10 24219.327775823676
na26 15 11 25143.479984244164
mg26 14 12 25134.126221340284
al26 13 13 25138.130625063142
si26 12 14 25143.19976194184
p26 11 15 24229.819663372225
s26 10 16 24246.52694159318
o27 19 8 25195.01056494431
f27 18 9 25175.474243190423
ne27 17 10 25157.39167447437
na27 16 11 26076.31707666692
mg27 15 12 26067.24827271287
al27 14 13 26064.63800361081
si27 13 14 26069.45036203075
p27 12 15 26081.175834671085
s27 11 16 25167.831430023984
o28 20 8 26133.914702946186
f28 19 9 26115.23866350208
ne28 18 10 26093.13460559833
na28 17 11 27012.34065485452
mg28 16 12 26998.3090245122
al28 15 13 26996.478250167904
si28 14 14 26991.83617298709
p28 13 15 27006.18111284252
s28 12 16 26085.908069694317
cl28 11 17 26110.1047821943
f29 20 9 27053.47916039367
ne29 19 10 27031.728773102237
na29 18 11 27016.0089633958
mg29 17 12 27934.21071203903
al29 16 13 27926.615310059413
si29 15 14 27922.9279909717
p29 14 15 27927.87022264017
s29 13 16 27941.7286491061
cl29 12 17 27027.35075082087
ar29 11 18 27051.29760120581
f30 21 9 27993.78333403148
ne30 20 10 27968.103192023053
na30 19 11 27953.297741585026
mg30 18 12 28867.43580156325
al30 17 13 28860.4530581587
si30 16 14 28851.88421223976
p30 15 15 28856.116318764463
s30 14 16 28862.257920200045
cl30 13 17 27949.49762010779
ar30 12 18 27966.893893777
f31 22 9 28933.159739543276
ne31 21 10 28907.49876861497
na31 20 11 28888.56320559899
mg31 19 12 29804.689125223944
al31 18 13 29792.860567857275
si31 17 14 29784.86223972021
p31 16 15 29783.37073292833
s31 15 16 29788.76874527589
cl31 14 17 29800.77672424209
ar31 13 18 28887.64228022866
k31 12 19 28910.577528018377
ne32 22 10 29844.81022309663
na32 21 11 29826.451428187946
mg32 20 12 30738.476478560795
al32 19 13 30728.20601088637
si32 18 14 30715.22768985621
p32 17 15 30715.000503102096
s32 16 16 30713.28984263084
cl32 15 17 30725.970673749493
ar32 14 18 30737.10502675289
k32 13 19 29829.801058624376
ne33 23 10 30785.43576219977
na33 22 11 30763.085492706366
mg33 21 12 30744.268251797257
al33 20 13 31662.302099560016
si33 19 14 31650.285154031582
p33 18 15 31644.46213103098
s33 17 16 31644.213623885888
cl33 16 17 31649.796141983672
ar33 15 18 31661.415186765335
k33 14 19 30746.845824524826
ca33 13 20 30770.335311305484
ne34 24 10 31723.641279624822
na34 23 11 31702.479596606117
mg34 22 12 31679.12280581782
al34 21 13 32599.29596578492
si34 20 14 32582.30190009121
p34 19 15 32577.74488283462
s34 18 16 32572.36189485352
cl34 17 17 32577.853498772936
ar34 16 18 32583.915291656816
k34 15 19 32601.07332732589
ca34 14 20 31685.689415410045
na35 24 11 32640.125286075618
mg35 23 12 32617.933370579634
al35 22 13 33533.5639570377
si35 21 14 33519.39620653069
p35 20 15 33508.92987731733
s35 19 16 33504.941476663145
cl35 18 17 33504.77415517201
ar35 17 18 33510.74039818534
k35 16 19 33522.614793445304
ca35 15 20 32607.48386973872
sc35 14 21 32629.39354252168
na36 25 11 33579.690784890205
mg36 24 12 33554.16784648398
al36 23 13 33539.73807134344
si36 22 14 34452.84566410787
p36 21 15 34445.03074436509
s36 20 16 34434.61764817669
cl36 19 17 34435.759781040484
ar36 18 18 34435.05024707877
k36 17 19 34447.86460744851
ca36 16 20 34458.830622700705
sc36 15 21 33549.93793176491
na37 26 11 34518.41607602442
mg37 25 12 34493.49326666608
al37 24 13 34475.091353826894
si37 23 14 35390.2043788743
p37 22 15 35377.77987859423
s37 21 16 35369.87946539124
cl37 20 17 35365.014339693385
ar37 19 18 35365.828212172506
k37 18 19 35371.975690404375
ca37 17 20 35383.639821363584
sc37 16 21 34469.06179250195
ti37 15 22 34490.45169157575
na38 27 11 35458.68112690992
mg38 26 12 35430.8499461179
al38 25 13 35413.245639076325
si38 24 14 36324.0996951721
p38 23 15 36313.64842914987
s38 22 16 36301.408778285455
cl38 21 17 36298.47187798189
ar38 20 18 36293.55516707214
k38 19 19 36299.46923430632
ca38 18 20 36306.21149015247
sc38 17 21 36324.0205181734
ti38 16 22 35408.14570886559
na39 28 11 36398.24662572451
mg39 27 12 36371.04513494572
al39 26 13 36349.75956321139
si39 25 14 36330.59034607775
p39 24 15 37246.98946081352
s39 23 16 37236.60142461095
cl39 22 17 37229.96387801685
ar39 21 18 37226.52190111809
k39 20 19 37225.95690133962
ca39 19 20 37232.48138986769
sc39 18 21 37245.59137013727
ti39 17 22 36330.77012443952
v39 16 23 36350.8400963702
mg40 28 12 37309.31399396975
al40 27 13 37288.58452421456
si40 26 14 37265.43097239849
p40 25 15 38183.11900949619
s40 24 16 38168.420349268046
cl40 23 17 38163.70038015916
ar40 22 18 38156.21829913183
k40 21 19 38157.72270212422
ca40 20 20 38156.411796501474
sc40 19 21 38170.73484570524
ti40 18 22 38182.26475954222
v40 17 23 37272.23400823483
mg41 29 12 38249.35828075298
al41 28 13 38225.84830110207
si41 27 14 38204.45840202826
p41 26 15 39117.77253404853
s41 25 16 39103.74372147588
cl41 24 17 39095.445109448
ar41 23 18 39089.68479183589
k41 22 19 39087.192752725234
ca41 21 20 39087.61439249674
sc41 20 21 39094.10994119837
ti41 19 22 39107.054762906126
v41 18 23 38191.56838663902
cr41 17 24 38211.66816638098
al42 29 13 39164.74219266882
si42 28 14 39139.59185190356
p42 27 15 39123.84414301727
s42 26 16 40036.60865625735
cl42 25 17 40029.41463415497
ar42 24 18 40019.82372589353
k42 23 19 40019.22437278023
ca42 22 20 40015.69911006228
sc42 21 21 40022.125400314406
ti42 20 22 40029.14205010429
v42 19 23 40046.62678217943
cr42 18 24 39129.81209532228
